Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,24-03-2019,Banglore,New Delhi,BLR → DEL,22:20,22-03-2021 01:10,2h 50m,non-stop,No info,3897
IndiGo,01-05-2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,2 stops,No info,7662
IndiGo,09-06-2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,10-06-2021 04:25,19h,2 stops,No info,13882
IndiGo,12-05-2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6218
IndiGo,01-03-2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,13302
IndiGo,24-06-2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873
IndiGo,12-03-2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,13-03-2021 10:25,15h 30m,1 stop,In-flight meal not included,11087
IndiGo,01-03-2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,02-03-2021 05:05,21h 5m,1 stop,No info,22270
IndiGo,12-03-2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,13-03-2021 10:25,25h 30m,1 stop,In-flight meal not included,11087
IndiGo,27-05-2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,8625
IndiGo,01-06-2019,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,8907
IndiGo,18-04-2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4174
IndiGo,24-06-2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667
IndiGo,09-05-2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10-05-2021 09:20,12h 10m,1 stop,In-flight meal not included,9663
IndiGo,24-04-2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804
IndiGo,03-03-2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,04-03-2021 19:15,26h 35m,2 stops,No info,14011
IndiGo,15-04-2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5830
IndiGo,12-06-2019,Delhi,Cochin,DEL → BOM → COK,14:00,13-06-2021 12:35,22h 35m,1 stop,In-flight meal not included,10262
IndiGo,12-06-2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,13-06-2021 19:15,23h,2 stops,No info,13381
IndiGo,27-05-2019,Delhi,Cochin,DEL → BOM → COK,16:00,28-05-2021 12:35,20h 35m,1 stop,In-flight meal not included,12898
IndiGo,06-03-2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,19495
IndiGo,21-03-2019,Banglore,New Delhi,BLR → COK → DEL,22:00,19-03-2021 13:20,15h 20m,1 stop,No info,6955
IndiGo,03-04-2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943
IndiGo,01-05-2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823
IndiGo,06-05-2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,07-05-2021 08:15,13h 20m,1 stop,In-flight meal not included,7757
IndiGo,09-06-2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,10-06-2021 12:35,15h 10m,2 stops,No info,13292
IndiGo,01-06-2019,Delhi,Cochin,DEL → LKO → COK,21:50,02-06-2021 03:35,5h 45m,1 stop,No info,8238
IndiGo,15-05-2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,7682
IndiGo,18-06-2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668
IndiGo,15-06-2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687
IndiGo,18-06-2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687
IndiGo,01-05-2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,13227
IndiGo,06-04-2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423
IndiGo,15-06-2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,16-06-2021 12:35,22h,2 stops,In-flight meal not included,10919
IndiGo,18-05-2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373
IndiGo,27-06-2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894
IndiGo,21-05-2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649
IndiGo,18-05-2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,6245
IndiGo,06-03-2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,19225
IndiGo,03-06-2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,14924
IndiGo,21-05-2019,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1 stop,No info,9646
IndiGo,15-03-2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1 stop,No info,8714
IndiGo,18-05-2019,Delhi,Cochin,DEL → BOM → COK,20:55,19-05-2021 19:00,22h 5m,1 stop,In-flight meal not included,12373
IndiGo,06-05-2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383
IndiGo,21-03-2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13062
