Airline,Dep_Date,Dep_Time,Arrival_Date,Arrival_Time,Source,Destination,Stopage,Additional_Info,Price
IndiGo,01-03-2018,12:30,01-03-2018,17:30,Banglore,New Delhi,non-stop,No info,6528
IndiGo,02-03-2018,13:20,02-03-2018,18:20,Kolkata,Banglore,1 stop,No info,5303
IndiGo,03-03-2018,16:30,03-03-2018,18:24,Banglore,New Delhi,1 stop,No info,4148
IndiGo,04-03-2018,18:05,04-03-2018,23:01,Kolkata,Banglore,non-stop,No info,4148
IndiGo,05-03-2018,16:50,05-03-2018,20:47,Kolkata,Banglore,non-stop,No info,4804
IndiGo,06-03-2018,20:20,06-03-2018,23:53,Banglore,Delhi,non-stop,No info,6496
IndiGo,07-03-2018,17:15,07-03-2018,23:50,Banglore,Delhi,non-stop,No info,4804
IndiGo,08-03-2018,04:00,08-03-2018,00:50,Delhi,Cochin,1 stop,No info,4591
IndiGo,09-03-2018,18:55,09-03-2018,01:50,Banglore,Delhi,non-stop,No info,4437
IndiGo,10-03-2018,21:50,11-03-2018,02:50,Delhi,Cochin,1 stop,No info,7295
IndiGo,11-03-2018,04:00,11-03-2018,03:50,Banglore,Delhi,non-stop,No info,6860
IndiGo,12-03-2018,10:35,12-03-2018,04:50,Banglore,New Delhi,non-stop,No info,4823
IndiGo,13-03-2018,04:00,13-03-2018,05:50,Banglore,Delhi,non-stop,No info,2754
IndiGo,14-03-2018,22:20,15-03-2018,06:50,Delhi,Cochin,1 stop,No info,4823
IndiGo,15-03-2018,21:15,16-03-2018,07:50,Delhi,Cochin,1 stop,No info,4804
IndiGo,16-03-2018,15:00,16-03-2018,08:50,Chennai,Kolkata,non-stop,No info,4871
IndiGo,17-03-2018,10:35,17-03-2018,09:50,Delhi,Cochin,1 stop,No info,3597
IndiGo,18-03-2018,13:20,18-03-2018,10:50,Mumbai,Hyderabad,non-stop,No info,3717
IndiGo,19-03-2018,05:05,19-03-2018,11:50,Delhi,Cochin,1 stop,No info,3597
IndiGo,20-03-2018,06:25,20-03-2018,12:50,Delhi,Cochin,1 stop,No info,6442
IndiGo,21-03-2018,11:25,21-03-2018,13:50,Chennai,Kolkata,non-stop,No info,4823
IndiGo,22-03-2018,02:00,22-03-2018,14:50,Banglore,Delhi,non-stop,No info,2227
IndiGo,23-03-2018,05:15,23-03-2018,15:50,Chennai,Kolkata,non-stop,No info,3540
IndiGo,24-03-2018,18:55,24-03-2018,16:50,Banglore,Delhi,non-stop,No info,4423
IndiGo,25-03-2018,05:15,25-03-2018,17:50,Chennai,Kolkata,non-stop,No info,8899
IndiGo,26-03-2018,04:00,26-03-2018,18:50,Kolkata,Banglore,non-stop,No info,4174
IndiGo,27-03-2018,14:45,27-03-2018,19:50,Delhi,Cochin,1 stop,No info,5699
IndiGo,28-03-2018,20:25,28-03-2018,20:50,Delhi,Cochin,1 stop,No info,4392
IndiGo,29-03-2018,02:00,29-03-2018,21:50,Delhi,Cochin,1 stop,No info,5073
IndiGo,30-03-2018,07:35,30-03-2018,22:50,Banglore,New Delhi,non-stop,No info,4488
IndiGo,31-03-2018,15:10,31-03-2018,23:50,Banglore,New Delhi,non-stop,No info,4804
IndiGo,01-03-2018,18:55,01-03-2018,00:50,Delhi,Cochin,1 stop,No info,6600
IndiGo,02-03-2018,00:40,02-03-2018,01:50,Banglore,Delhi,non-stop,No info,6442
IndiGo,03-03-2018,06:50,03-03-2018,02:50,Delhi,Cochin,1 stop,No info,3597
